Video position (%),Absolute audience retention (%),Compared to other videos (%)
0,92.26,8.56
1,64.92,19.03
2,63.98,27.64
3,55.93,35.52
4,56.37,44.66
5,55.69,52.37
6,57.06,56.2
7,55.54,55.71
8,55.36,51.96
9,53.3,46.91
10,51.32,42.54
11,50.21,39.93
12,49.41,39
13,48.99,39.1
14,48.52,39.62
15,48.71,40.45
16,49.2,42.02
17,48.19,45.03
18,46.7,49.5
19,47.65,53.93
20,49.13,56.31
21,50.42,55.6
22,48.25,51.98
23,44.61,46.72
24,42.63,41.96
25,43.22,39.04
26,42.93,37.25
27,42.37,35.37
28,41.36,33.3
29,40.8,31.86
30,40.25,31.99
31,39.89,33.99
32,40.2,37.17
33,40.21,40.36
34,39.75,42.63
35,40.24,43.65
36,39.23,43.73
37,37.69,43.73
38,37.38,44.57
39,37.3,46.64
40,37.9,49.61
41,37.37,52.87
42,38.51,55.67
43,38.54,57.32
44,39.12,57.47
45,39.12,56.27
46,38.61,54.51
47,38.59,53.31
48,38.42,53.25
49,38.95,53.78
50,38.64,53.95
51,38.56,53.36
52,37.52,52.24
53,37.13,51.14
54,37.34,50.48
55,36.67,50.41
56,36.86,50.9
57,36.93,51.64
58,37.67,52.05
59,38.3,51.58
60,38.08,49.91
61,37.47,46.95
62,36.78,42.95
63,35.86,38.55
64,35.15,34.57
65,34.86,31.47
66,34.78,28.82
67,35.24,25.96
68,34.73,23.04
69,33,20.92
70,33.35,20.29
71,33.3,20.85
72,33.53,21.55
73,33.27,21.51
74,32.68,20.75
75,31.09,20.07
76,31,20.36
77,30.51,21.93
78,30.32,24.36
79,29.98,26.84
80,30.03,28.69
81,30.71,29.65
82,30.59,29.82
83,30.69,29.44
84,30.3,28.57
85,30.73,27.11
86,30.23,24.91
87,30.36,22.13
88,29.73,19.48
89,29.41,17.78
90,29.17,17.09
91,29.71,16.67
92,29.05,15.71
93,28.93,13.89
94,28.39,11.5
95,27.32,9.03
96,26.14,6.83
97,24.62,5.02
98,23.12,3.75
99,21.42,3.1
