Video position (%),Absolute audience retention (%),Compared to other videos (%)
0,101.12,32.05
1,76.11,44.23
2,70.34,50.56
3,65.56,50.58
4,63.57,50.16
5,60.92,51.84
6,58.34,55.19
7,59.56,58.01
8,59.48,58.27
9,58.72,55.58
10,57.09,51.24
11,56.4,46.7
12,58,42.17
13,55.94,36.99
14,56.02,30.93
15,53.74,24.58
16,51.76,18.67
17,51.49,13.6
18,48.22,9.71
19,46.04,7.28
20,44.99,5.82
21,45.68,3.89
22,44.8,0.4
23,43.34,-4.29
24,41.52,-8.65
25,39.75,-11.37
26,38.89,-12.5
27,38.6,-13.16
28,38.01,-14.35
29,38.29,-16.14
30,35.97,-17.9
31,34.27,-19.04
32,33.2,-19.31
33,32.98,-18.55
34,31.86,-16.54
35,30.93,-13.71
36,32.84,-11.46
37,32.84,-11.16
38,33.27,-12.95
39,32.65,-15.72
40,31.38,-18
41,31.16,-18.91
42,31.26,-18.66
43,31.79,-18.21
44,30.52,-18.66
45,29.35,-20.39
46,22.05,-22.69
47,19.59,-24.11
48,19.66,-22.77
49,20.11,-16.72
50,20.33,-5.2
51,20.76,10.17
52,22.84,26.2
53,23.94,40.12
54,24.71,50.44
55,24.97,56.65
56,25.16,58.72
57,25.62,57.43
58,25.23,54.27
59,24.92,50.9
60,23.94,48.62
61,24.42,47.66
62,24.13,47.09
63,24.44,45.67
64,24.16,42.93
65,25.19,39.45
66,24.04,36.57
67,23.82,35.46
68,23.49,36.14
69,23.32,37.53
70,22.94,38.29
71,22.39,38.03
72,23.03,37.43
73,22.03,37.44
74,21.38,38.39
75,21.77,39.91
76,21.79,41.47
77,22.27,42.86
78,22.34,43.82
79,24.01,43.45
80,26.26,40.54
81,26.41,34.68
82,26.21,26.58
83,25.11,17.32
84,24.2,7.98
85,23.46,-0.22
86,22.53,-6.23
87,21.96,-9.46
88,20.66,-9.96
89,19.78,-8.36
90,19.16,-5.9
91,18.42,-3.98
92,18.06,-3.48
93,17.36,-4.66
94,16.1,-7.1
95,15.67,-9.93
96,14.88,-12.29
97,13.97,-13.61
98,13.37,-13.71
99,11.67,-13.15
