Video position (%),Absolute audience retention (%),Compared to other videos (%)
0,96.59,14.44
1,74.05,24.43
2,69.45,32.89
3,62.12,37.66
4,59.95,40.28
5,56.48,42.18
6,54.09,44.32
7,51.45,46.37
8,47.63,47.45
9,47.77,47.25
10,46.24,45.97
11,44.82,43.82
12,45.25,41.23
13,43.75,38.92
14,43.18,37.45
15,42.84,36.65
16,43.02,35.7
17,41.07,34.07
18,40.06,32.09
19,39.68,30.44
20,38.93,29.33
21,38.59,28.19
22,37.71,26.33
23,36.61,24.05
24,36.9,22.68
25,35.91,23.21
26,36.6,24.87
27,37.06,25.72
28,36.23,24.27
29,36.28,20.19
30,35.19,14.11
31,34.98,7.53
32,33.6,2.31
33,34.09,-0.55
34,33.41,-1.24
35,32.7,-0.45
36,32.88,1.17
37,32.69,2.84
38,33.63,3.55
39,32.9,2.52
40,32.29,-0.1
41,24.59,-2.71
42,21.61,-2.41
43,23.39,3.45
44,23.32,15.08
45,23.96,29.49
46,27.19,42.67
47,28.29,51.91
48,29.34,56.68
49,28.97,58.36
50,29.89,59.02
51,30.22,59.95
52,29.17,60.92
53,30.44,60.77
54,28.81,59.08
55,29.11,56.77
56,28.4,55.2
57,28.15,54.79
58,29.14,54.61
59,28.92,53.23
60,29.2,49.79
61,28.49,44.65
62,28.11,39.38
63,27.96,35.69
64,27.42,34.14
65,28.19,33.89
66,27.74,33.89
67,28.21,33.7
68,28.6,33.24
69,27.96,32.63
70,28.62,32.03
71,27.97,31.54
72,28.41,30.98
73,27.9,29.95
74,27.8,28.37
75,27.77,26.74
76,27.08,25.82
77,27.26,26
78,27.63,27.07
79,28.62,28.53
80,28.17,29.6
81,28.63,29.21
82,29.14,26.45
83,27.4,21.16
84,27.15,14.29
85,26.27,7.64
86,25.27,2.43
87,25.24,-1.18
88,24.58,-3.29
89,24.54,-3.99
90,24.09,-3.67
91,24.18,-3.05
92,24.08,-2.57
93,22.22,-2.1
94,22.61,-1.49
95,21.54,-1.03
96,20.03,-1.24
97,18.67,-2.32
98,17.45,-3.7
99,15.85,-4.58
