Video position (%),Absolute audience retention (%),Compared to other videos (%)
0,99.74,23.1
1,84.55,27.24
2,73.19,30.41
3,64.75,32.59
4,57.68,34.41
5,50.94,35.24
6,48.48,35.17
7,47.15,35.23
8,45.4,36.32
9,45.95,38.38
10,44.6,40.64
11,44.21,42.31
12,43.71,42.92
13,43.82,42.45
14,42.7,41.36
15,41.49,40.65
16,40.65,41.17
17,40.76,42.66
18,40.99,43.93
19,39.58,44.26
20,39.03,44.28
21,39.23,45
22,39.64,46.32
23,40.2,46.99
24,39.55,46
25,38.93,43.47
26,37.45,40.23
27,37.27,37.11
28,37.29,34.64
29,36.96,33.09
30,36.57,32.36
31,37.08,31.88
32,36.52,31.09
33,36.67,29.89
34,36.38,28.44
35,36.61,26.75
36,35.87,24.83
37,35.53,22.86
38,35.47,20.87
39,36.5,18.12
40,36.35,13.43
41,36.23,6.29
42,35.17,-2.1
43,34.44,-9.39
44,34.23,-13.95
45,34.41,-15.85
46,31.61,-15.75
47,24.88,-13.2
48,23.4,-6.13
49,23.09,7.59
50,22.32,26.81
51,26.78,46.54
52,30.08,61.71
53,31.89,69.87
54,31.64,71.08
55,31.93,66.94
56,30.85,59.84
57,31.76,52.46
58,30.92,47.04
59,30.12,44.37
60,30.69,43.58
61,30.97,43.38
62,31.44,43.12
63,31.32,43.3
64,31.42,44.71
65,31.75,47.34
66,31.9,50
67,32.55,50.94
68,32.26,48.8
69,32.55,43.46
70,32.65,36.19
71,31.69,29.02
72,31.54,23.56
73,31.51,19.62
74,31.48,15.59
75,31.6,10.1
76,30.76,3.31
77,29.28,-3.39
78,29.44,-8.6
79,28.95,-11.6
80,27.93,-12.31
81,27.55,-11.32
82,27.65,-9.99
83,26.64,-9.73
84,26.64,-11.14
85,25.74,-13.73
86,24.89,-16.34
87,24.61,-17.9
88,23.74,-18.08
89,23.46,-17.1
90,23.23,-15.26
91,23.06,-12.78
92,22.74,-9.86
93,22.51,-6.56
94,21.85,-2.97
95,21.43,0.48
96,20.94,3.03
97,20.34,4.11
98,19.3,4.02
99,17.92,3.64
