Video position (%),Absolute audience retention (%),Compared to other videos (%)
0,97.7,16.77
1,72.64,32.25
2,70.38,44.72
3,68.25,51.69
4,64.88,56.22
5,65.15,59.47
6,58.57,61.55
7,57.25,62.17
8,55.09,61.2
9,54.24,59.13
10,54.1,56.9
11,53.71,54.96
12,53.41,53.16
13,52.71,51.4
14,51.81,50.01
15,51.74,49.26
16,50.82,48.96
17,50.73,48.91
18,49.73,49.33
19,49.12,50.44
20,49.53,51.94
21,50.18,53.05
22,48.97,53.17
23,48.31,52.24
24,48.33,50.89
25,47.42,49.93
26,49.21,49.41
27,48.55,48.3
28,47.94,45.57
29,48.3,41.38
30,47.96,36.79
31,48.06,32.89
32,48.53,30.15
33,48.46,28.3
34,47.18,26.39
35,48.26,23.16
36,48.79,17.75
37,46.2,10.47
38,44.67,3.3
39,43.92,-1.47
40,44.19,-3.2
41,44.17,-2.6
42,34.95,0.06
43,32.82,5.66
44,29.89,15.79
45,29.23,31.36
46,30.59,50.14
47,35.67,66.87
48,41.22,77.72
49,44.48,82.61
50,45.51,83.47
51,46.04,82.34
52,46.84,80.33
53,46.74,77.5
54,46.54,73.39
55,44.68,68.09
56,44.61,62.69
57,44.86,58.13
58,44.97,54.2
59,43.79,50.24
60,43.58,45.61
61,43.31,39.99
62,42.19,33.66
63,43.07,27.21
64,41.93,21.35
65,41.98,16.69
66,41.32,13.8
67,41,12.94
68,42.23,13.39
69,42.51,13.7
70,42.33,12.83
71,42.15,10.44
72,41.69,6.56
73,41.18,1.56
74,40.31,-3.65
75,39.64,-7.87
76,39.55,-10.41
77,39.88,-11.5
78,40.37,-11.61
79,37.38,-10.9
80,36.12,-9.7
81,36.86,-8.99
82,36.3,-9.5
83,35.6,-10.48
84,34.35,-10.15
85,33.62,-7.66
86,33.53,-3.52
87,32.99,1.54
88,32.98,6.54
89,34.51,10.15
90,34.56,11.43
91,34.05,10.12
92,33.21,6.45
93,32.42,0.92
94,30.46,-5.47
95,28.46,-11.48
96,26.78,-16.15
97,25.02,-19.13
98,22.91,-20.56
99,20,-20.93
